Meclis Üyesi,İlçe,x,Takipçi,Parti,Sosyal Medya Linki,Sosyal Medya Linki (2),,,
İbrahim Mert Bektaş,Keçiören,Insta,3018,CHP,https://www.instagram.com/mertbektaschp/,https://x.com/mertbektaschp,,, 
Furkan Albayrak,Altındağ,X,2920,AKP,https://x.com/furkanalbayrakk,,,,
Naki Demir,Yenimahalle,Insta,2481,CHP,https://www.instagram.com/nakidemir/,https://x.com/naki_demir1,,,
Mustafa Eski,Yenimahalle,X,2480,CHP,https://x.com/mustafaeski06,,,,
Satılmış Karakoç,Kalecik,Insta,2472,CHP,https://www.instagram.com/skarakoc06/,,,,
Nigar Koca,Sincan,X,2329,AKP,https://x.com/NigarKoca0666,https://www.instagram.com/nigarkoca.06/,,,
Şirin Doğan,Çubuk,X,2303,YRP,https://x.com/sirin_sirine06,https://www.instagram.com/sirin06_sirin06/ ,,,
Emre Arslantaş,Çubuk,X,2268,AKP,https://x.com/emre_arslantas,,,,
Hüseyin Çakmak,Gölbaşı,Insta,2259,CHP,https://www.instagram.com/huseyincakmak06/,,,,
Erdoğan Orhan,Beypazarı,X,2258,MHP,https://x.com/erdoganorhantr,,,,
Serkan Bedirhanoğlu,Keçiören,X,2233,CHP,https://x.com/AvSBedirhanoglu ,https://www.instagram.com/av.serkanbedirhanoglu/  ,,,
Cem Şahin,Mamak,Insta,2231,CHP,https://www.instagram.com/cemsahinchp/,https://x.com/cemsahinchp,,,
Ali Sarıkaya,Kahramankazan,Insta,2049,MHP,https://www.instagram.com/alisarikayamhp/,,,,
Çağdaş Sarıaslan,Sİncan,Insta,1936,CHP,https://www.instagram.com/cagdassariaslan/,https://x.com/sariaslanchp,,,
Coşkun Torun,Çankaya,X,1814,CHP,https://x.com/mim_coskuntorun,,,,
Ali İhsan Güçlü,Gölbaşı,Insta,1762,BÜYÜK BİRLİK,https://www.instagram.com/aliihsanguclu06/,https://x.com/alihsangl4,,,
Hamiyet Koçer,Etimesgut,Insta,1673,CHP,https://www.instagram.com/hamiyetkocer/,https://x.com/hamiyet_kocer,,,
Taylan Özgüven,Etimesgut,Insta,1650,CHP,https://www.instagram.com/taylanozguven/,https://x.com/Taylan317595 ,,,
Ferudun Güngör,Yenimahalle,Insta,1538,CHP,https://www.instagram.com/ferudungungor_/,,,,
Hasan Alıcı,Çankaya,Insta,1500,CHP,https://www.instagram.com/hasanalici44/,,,,
Oğulcan Sağlam,Altındağ,X,1476,AKP,https://x.com/OgulcanSaglam,https://www.instagram.com/ogulcansaglam/,,,
Gökhan Arıcı,Nallıhan,X,1446,AKP,https://x.com/aricigokhan,,,,
Mehmet Aydın,Pursaklar,Insta,1346,CHP,https://www.instagram.com/mehmetaydinchp/,,,,
Selim Sönmez,Etimesgut,Insta,1291,CHP,https://www.instagram.com/selimsonmez06/ ,https://x.com/SelimS0NMEZ ,,,
Özgür Yaman,Polatlı,Insta,1170,CHP,https://www.instagram.com/smmmyaman/,,,,
Atila Atalay,Kahramankazan,Insta,1000,CHP,https://www.instagram.com/atilaatly/,https://x.com/atila_atalay,,,
Özkan Deniz,Etimesgut,Insta,960,CHP,https://www.instagram.com/ozkandeniz652/,,,,
Sinan Yurt,Akyurt,Insta,933,AKP,https://www.instagram.com/sinan.yurt_/,https://x.com/Sinan_Yurt06,,,
Çağrı Eryılmaz,Sincan,Insta,918,CHP,https://www.instagram.com/cagrieryilmazchp/,,,,
Mustafa Koçak,Şereflikoçhisar,X,876,CHP,https://x.com/Mustafakocak_88,,,,
Ünal Uçan,Sincan,Insta,742,CHP,https://www.instagram.com/unal_ucan_/ ,https://x.com/UnalUcan ,,,
Cengiz Albayrak,Mamak,Insta,736,CHP,https://www.instagram.com/cengizalbayrak1906/,,,,
Tufan Bural,Polatlı,Insta,715,CHP,https://www.instagram.com/tufanbural/,https://x.com/tfnbural ,,,
Mehmet Öztürk,Çubuk,X,617,AKP,https://x.com/mehmet_oztrk83,,,,
Zülkifli Ceylan,Sincan,X,602,AKP,https://x.com/CeylanZulkif ,,,,
Üzeyir Tunç,Yenimahalle,Insta,542,BBP,https://www.instagram.com/uzeyirtunc_bbp/,,,,
Sebile Hanım Ayar,Pursaklar,X,532,AKP,https://x.com/sebileayar_,,,,
Mehmet Özdemir,Etimesgut,Insta,464,CHP,https://www.instagram.com/chpmemetozd/,,,,
Abdullah Emin Tekin,Akyurt,X,314,AKP,https://x.com/aemintekin ,,,,
Yunus Emre Yıldırım,Pursaklar,X,239,MHP,https://x.com/ynsemreyildirim ,,,,
Ali Osman Toprak,Elmadağ,X,182,CHP,https://x.com/toprakav,https://www.instagram.com/avukataliosmantoprak/,,,
Mukadder Tüfekci,Akyurt,X,146,AKP,https://x.com/MukadderTufekc1,,,,
Hasan Safa Güngör,Bala,X,39,AKP,https://x.com/gungorhasansafa,https://www.instagram.com/hasan_safa_gungor/,,,
Abdullah Uskut,Güdül,0,0,CHP,,,,,
Abdurrahman Özkan,Pursaklar,0,0,AKP,,,,,
Adem Varol,Çamlıdere,0,0,AKP,,,,,
Adnan Taha Tuğrul,Sincan,0,0,BAGIMSIZ,,,,,
Ahmet Öztürk,Pursaklar,0,0,AKP,,,,,
Ahmet Saraç,Haymana,0,0,CHP,,,,,
Ahmet Tunar,Nallıhan,0,0,CHP,,,,,
Akın Babadağ,Elmadağ,0,0,AKP,,,,,
Ali Yılmaz,Kahramankazan,0,0,AKP,,,,,
Arif Yağcı,Çamlıdere,0,0,AKP,,,,,
Aycan Demir,Mamak,0,0,CHP,,,,,
Aysel Demir,Polatlı,0,0,AKP,,,,,
Bekir Yıldız,Sincan,0,0,AKP,,,,,
Berçin Havva Öztürk,Mamak,0,0,AKP,,,,,
Burak Koç,Elmadağ,0,0,CHP,,,,,
Cemal Tekin,Çubuk,0,0,MHP,,,,,
Erdoğan Doğan,Mamak,0,0,CHP,,,,,
Fethi Çakmak,Sincan,0,0,AKP,,,,,
Hacı Mahmut Ayhan,Kahramankazan,0,0,CHP,,,,,
Hakan Keskin,Şereflikoçhisar,0,0,CHP,,,,,
Hakan Küçük,Bala,0,0,AKP,,,,,
Hasan Tahsin Atasoy,Ayaş,0,0,CHP,,,,,
Hikmet Özbek,Evren,0,0,AKP,,,,,
Hüsamettin Ünsal,Evren,0,0,AKP,,,,,
Hüseyin Karabulut,Keçiören,0,0,CHP,,,,,
İbrahim Uyar,Keçiören,0,0,CHP,,,,,
İlke Çakar,Nallıhan,0,0,CHP,,,,,
İzzet Demircioğlu,Ayaş,0,0,CHP,,,,,
Lokman Ulaş,Kalecik,0,0,CHP,,,,,
Lütfi Bulut,Ayaş,0,0,CHP,,,,,
Mehmet Emin Ayaz,Altındağ,0,0,AKP,,,,,
Mehmet Nuri Emre,Altındağ,0,0,CHP,,,,,
Mehmet Yıldız,Etimesgut,0,0,MHP,,,,,
Murat Pehlivan,Kızılcahamam,0,0,CHP,,,,,
Murat Yalçın,Kızılcahamam,0,0,AKP,,,,,
Naki Yükseker,Gölbaşı,0,0,CHP,,,,,
Ömer Faruk İslam,Keçiören,0,0,AKP,,,,,
Ömer Osman Karakoca,Haymana,0,0,CHP,,,,,
Orhan Küçük,Şereflikoçhisar,0,0,CHP,,,,,
Osman Aydoğdu,Sincan,0,0,AKP,,,,,
Osman Koçak,Beypazarı,0,0,CHP,,,,,
Ozan Yiğit,Etimesgut,0,0,CHP,,,,,
Özgür Tosun,Yenimahalle,0,0,CHP,,,,,
Raşit Burkay Özgün,Çubuk,0,0,CHP,,,,,
Recep Aksoy,Polatlı,0,0,MHP,,,,,
Savaş Kara,Haymana,0,0,AKP,,,,,
Savaş Yiğit ,Şereflikoçhisar,0,0,CHP,,,,,
Yasin Coşar Yağcı,Polatlı,0,0,CHP,,,,,
Volkan Sarıkaya,Kahramankazan,0,0,CHP,,,,,
Songül Gülpunar,Yenimahalle,0,0,CHP,,,,,
Sıtkı Can Kayı,Beypazarı,0,0,CHP,,,,,
Serpil Öztürk,Polatlı,0,0,CHP,,,,,
Selim Karakoç,Kalecik,0,0,CHP,,,,,
Selçuk Dağdelenler,Gölbaşı,0,0,CHP,,,,,
Ramazan Tuğcu,Mamak,0,,MHP,,,,,
